chemin, class, classe_LOC, classe_CLOC, classe_DC 
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,198,130,0.65656567
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,186,111,0.5967742
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\Annotation.java,Annotation,57,50,0.877193
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryAnnotation.java,CategoryAnnotation,60,50,0.8333333
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation,390,198,0.50769234
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,480,263,0.54791665
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,246,126,0.5121951
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\package-info.java,null,4,3,0.75
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java,TextAnnotation,314,183,0.58280253
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYAnnotation.java,XYAnnotation,64,53,0.828125
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java,XYAnnotationBoundsInfo,64,57,0.890625
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation,342,169,0.49415204
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,335,176,0.52537316
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java,XYDrawableAnnotation,270,135,0.5
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,272,138,0.50735295
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java,XYLineAnnotation,331,154,0.4652568
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,494,262,0.5303644
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,321,154,0.47975078
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation,272,126,0.4632353
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,583,309,0.53001714
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYTitleAnnotation.java,XYTitleAnnotation,359,151,0.4206128
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\HorizontalAlignment.java,HorizontalAlignment,48,42,0.875
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\Layer.java,Layer,37,32,0.8648649
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\LengthAdjustmentType.java,LengthAdjustmentType,47,41,0.87234044
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\package-info.java,null,4,3,0.75
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\PublicCloneable.java,PublicCloneable,53,48,0.9056604
