chemin, paquet, paquet_LOC, paquet_CLOC, paquet_DC, WCP, paquet_BC
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java,null,43,3,0.069767445,0,0.0
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api,org.jfree.chart.api,1446,888,0.6141079,12432,4.9397353E-5
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\util,org.jfree.chart.util,1676,933,0.5566826,14092,3.9503448E-5
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\swing,org.jfree.chart.swing,5379,2568,0.47741216,345383,1.3822688E-6
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\gantt,org.jfree.data.gantt,3341,1639,0.49057168,79434,6.17584E-6
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\flow,org.jfree.data.flow,1249,725,0.58046436,11500,5.0475162E-5
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy,org.jfree.chart.renderer.xy,23113,10596,0.4584433,745219,6.151793E-7
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\compass,org.jfree.chart.plot.compass,3218,1730,0.537601,29916,1.797035E-5
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category,org.jfree.chart.renderer.category,16350,7530,0.46055046,633285,7.2724043E-7
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\json\impl,org.jfree.data.json.impl,724,401,0.5538674,4679,1.1837303E-4
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\date,org.jfree.chart.date,1330,787,0.59172934,34451,1.717597E-5
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\internal,org.jfree.chart.internal,2686,1276,0.47505584,37884,1.2539749E-5
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block,org.jfree.chart.block,6992,3389,0.4846968,91832,5.278082E-6
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xml,org.jfree.data.xml,1147,703,0.61290324,2528,2.424459E-4
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\text\format,org.jfree.chart.text.format,1315,736,0.55969584,13710,4.0823914E-5
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\json,org.jfree.data.json,191,88,0.460733,902,5.1079044E-4
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer,org.jfree.chart.renderer,7394,3771,0.5100081,615842,8.281476E-7
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\resources,org.jfree.data.resources,369,297,0.80487806,161,0.0049992427
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\pie,org.jfree.chart.plot.pie,5208,2440,0.46850997,461178,1.0158983E-6
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\category,org.jfree.data.category,3207,1524,0.4752105,54616,8.700939E-6
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\io,org.jfree.data.io,186,95,0.5107527,547,9.3373435E-4
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations,org.jfree.chart.annotations,7679,3843,0.5004558,112487,4.4490102E-6
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\urls,org.jfree.chart.urls,2342,1331,0.56831765,8423,6.7472116E-5
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data,org.jfree.data,7582,3768,0.4969665,96348,5.1580364E-6
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\dial,org.jfree.chart.plot.dial,7283,3878,0.5324729,141584,3.7608268E-6
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot,org.jfree.chart.plot,31404,14239,0.45341358,3355322,1.3513265E-7
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\flow,org.jfree.chart.plot.flow,1001,388,0.3876124,35337,1.0969024E-5
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\encoders,org.jfree.chart.encoders,745,525,0.70469797,2961,2.3799324E-4
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\legend,org.jfree.chart.legend,3841,1925,0.5011716,153443,3.2661744E-6
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\text,org.jfree.chart.text,2238,1151,0.5142985,36108,1.4243339E-5
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event,org.jfree.chart.event,1136,933,0.82130283,920,8.927205E-4
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\labels,org.jfree.chart.labels,7978,4460,0.5590373,47486,1.1772677E-5
